group1,group2,bothTest,bothTrain
2003650,3113650,0,84
2003650,3117652,5,67
2003650,3119660,0,84
2003650,3123653,3,66
2003650,3125660,0,84
2003650,3127690,4,63
2003650,3129670,0,84
2003650,3131650,6,65
2003650,3133652,0,84
2003650,3135660,4,71
2003650,3137650,0,84
2003650,3139650,2,68
2003650,3141652,0,84
2003650,3143650,2,66
2003650,3145650,0,84
2003650,3149653,3,74
2003650,3153670,0,84
2003650,3155690,3,70
2003650,3159650,0,84
2003650,3161650,4,65
2003650,3163690,0,84
2003650,3169650,5,67
2003650,3173650,0,84
2003650,3181650,4,71
2003650,3185650,0,84
2003650,3187680,2,69
2003650,3189650,0,84
2003650,3191650,4,69
2003650,3197670,0,84
2003650,3203680,3,65
2003650,3209651,0,84
2003650,3211670,2,69
2003650,3215650,0,84
2003650,3217660,4,69
2003650,3219650,0,84
2003650,3221650,3,70
2003650,3223650,0,84
2003650,3225690,3,57
2003650,3229650,0,84
2003650,3231650,1,67
2003650,3239650,0,84
2003650,3241660,3,63
2003650,3243680,0,84
2003650,3245680,4,64
2003650,3247652,0,84
2003650,3249650,4,64
2003650,3251653,0,84
2003650,3257660,4,59
2003650,3263650,0,84
2003650,3267660,5,64
2003650,3271650,0,84
2003650,3273652,4,66
2003650,3277650,0,84
2003650,3279650,5,68
2003650,3281670,0,84
2003650,3283690,2,66
2003650,3289650,0,84
2003650,3291670,3,64
2003650,3293653,0,84
2003650,3297650,6,63
2003650,3301660,0,84
2003650,3311680,2,57
2003650,3313650,0,84
2003650,3315650,4,67
2003650,3317650,0,84
2003650,3319650,2,68
2003650,3321660,0,84
2003650,3323670,5,64
2003650,3327650,0,84
2003650,3335650,4,68
2003650,3337650,0,84
2003650,3339680,4,69
2003650,3341680,0,84
2003650,3343650,1,74
2003650,3345650,0,84
2003650,3347653,3,66
2003650,3357650,0,84
2003650,3361650,6,73
2003650,3363660,0,84
2003650,3365650,5,74
2003650,3367653,0,84
2003650,3371650,3,73
2003650,3373660,0,84
2003650,3375670,1,69
2003650,3377650,0,84
2003650,3381650,3,67
