mcc,split,algorithm,subset,state
0.895227,split_88,optifit,train,NA
0.892122,split_89,optifit,train,NA
0.893135,split_90,optifit,train,NA
0.893256,split_91,optifit,train,NA
0.89672,split_92,optifit,train,NA
0.895007,split_93,optifit,train,NA
0.893474,split_94,optifit,train,NA
0.893542,split_95,optifit,train,NA
0.893113,split_96,optifit,train,NA
0.89483,split_97,optifit,train,NA
0.893198,split_98,optifit,train,NA
0.892991,split_99,optifit,train,NA
0.893717,split_100,optifit,train,NA
0.891522,split_1,optifit,test,combo
0.872565,split_1,optifit,test,fit
0.891517,split_2,optifit,test,combo
0.889268,split_2,optifit,test,fit
0.891592,split_3,optifit,test,combo
0.883105,split_3,optifit,test,fit
0.892418,split_4,optifit,test,combo
0.892772,split_4,optifit,test,fit
0.891775,split_5,optifit,test,combo
0.889519,split_5,optifit,test,fit
0.891367,split_6,optifit,test,combo
0.873959,split_6,optifit,test,fit
0.89187,split_7,optifit,test,combo
0.886718,split_7,optifit,test,fit
0.89133,split_8,optifit,test,combo
0.887195,split_8,optifit,test,fit
0.891743,split_9,optifit,test,combo
0.888761,split_9,optifit,test,fit
0.891302,split_10,optifit,test,combo
0.891174,split_10,optifit,test,fit
0.891782,split_11,optifit,test,combo
0.88746100000000006,split_11,optifit,test,fit
0.891635,split_12,optifit,test,combo
0.879984,split_12,optifit,test,fit
0.891561,split_13,optifit,test,combo
0.880972,split_13,optifit,test,fit
0.891221,split_14,optifit,test,combo
0.88656,split_14,optifit,test,fit
0.891175,split_15,optifit,test,combo
0.878647,split_15,optifit,test,fit
0.891038,split_16,optifit,test,combo
0.8832,split_16,optifit,test,fit
0.89174,split_17,optifit,test,combo
0.888692,split_17,optifit,test,fit
0.891705,split_18,optifit,test,combo
0.882158,split_18,optifit,test,fit
0.891333,split_19,optifit,test,combo
0.88668,split_19,optifit,test,fit
0.89163,split_20,optifit,test,combo
0.886096,split_20,optifit,test,fit
0.891787,split_21,optifit,test,combo
0.885155,split_21,optifit,test,fit
0.889162,split_22,optifit,test,combo
0.881421,split_22,optifit,test,fit
0.891684,split_23,optifit,test,combo
0.880897,split_23,optifit,test,fit
0.891166,split_24,optifit,test,combo
0.888993,split_24,optifit,test,fit
0.891143,split_25,optifit,test,combo
0.886928,split_25,optifit,test,fit
0.891981,split_26,optifit,test,combo
0.894687,split_26,optifit,test,fit
0.891404,split_27,optifit,test,combo
0.881167,split_27,optifit,test,fit
0.891458,split_28,optifit,test,combo
0.889884,split_28,optifit,test,fit
0.891451,split_29,optifit,test,combo
0.876857,split_29,optifit,test,fit
0.89191,split_30,optifit,test,combo
0.884915,split_30,optifit,test,fit
0.891367,split_31,optifit,test,combo
0.882941,split_31,optifit,test,fit
0.891598,split_32,optifit,test,combo
0.881125,split_32,optifit,test,fit
0.890991,split_33,optifit,test,combo
0.873352,split_33,optifit,test,fit
0.891391,split_34,optifit,test,combo
0.884641,split_34,optifit,test,fit
0.891553,split_35,optifit,test,combo
0.882408,split_35,optifit,test,fit
0.891416,split_36,optifit,test,combo
0.883687,split_36,optifit,test,fit
0.891622,split_37,optifit,test,combo
0.881646,split_37,optifit,test,fit
0.891037,split_38,optifit,test,combo
0.875526,split_38,optifit,test,fit
0.892007,split_39,optifit,test,combo
0.892058,split_39,optifit,test,fit
0.891481,split_40,optifit,test,combo
0.884459,split_40,optifit,test,fit
0.892097,split_41,optifit,test,combo
0.888649,split_41,optifit,test,fit
0.891398,split_42,optifit,test,combo
0.880169,split_42,optifit,test,fit
0.891875,split_43,optifit,test,combo
0.885921,split_43,optifit,test,fit
0.892156,split_44,optifit,test,combo
0.89608,split_44,optifit,test,fit
0.891809,split_45,optifit,test,combo
0.885211,split_45,optifit,test,fit
0.891716,split_46,optifit,test,combo
0.889204,split_46,optifit,test,fit
0.891599,split_47,optifit,test,combo
0.884353,split_47,optifit,test,fit
0.8921,split_48,optifit,test,combo
0.887575,split_48,optifit,test,fit
0.891331,split_49,optifit,test,combo
0.883076,split_49,optifit,test,fit
0.891821,split_50,optifit,test,combo
0.890467,split_50,optifit,test,fit
0.891943,split_51,optifit,test,combo
0.891345,split_51,optifit,test,fit
0.892218,split_52,optifit,test,combo
0.892723,split_52,optifit,test,fit
0.891405,split_53,optifit,test,combo
0.888891,split_53,optifit,test,fit
