mcc,split,algorithm,subset,state
0.88311,split_3,optifit,test,fit
0.892542,split_4,optifit,test,combo
0.893191,split_4,optifit,test,fit
0.891646,split_5,optifit,test,combo
0.889853,split_5,optifit,test,fit
0.891396,split_6,optifit,test,combo
0.873966,split_6,optifit,test,fit
0.891366,split_7,optifit,test,combo
0.884577,split_7,optifit,test,fit
0.8914,split_8,optifit,test,combo
0.887275,split_8,optifit,test,fit
0.891724,split_9,optifit,test,combo
0.888773,split_9,optifit,test,fit
0.890861,split_10,optifit,test,combo
0.890737,split_10,optifit,test,fit
0.89174,split_11,optifit,test,combo
0.887323,split_11,optifit,test,fit
0.891398,split_12,optifit,test,combo
0.879739,split_12,optifit,test,fit
0.891973,split_13,optifit,test,combo
0.882976,split_13,optifit,test,fit
0.891264,split_14,optifit,test,combo
0.886497,split_14,optifit,test,fit
0.89152,split_15,optifit,test,combo
0.879394,split_15,optifit,test,fit
0.89178,split_16,optifit,test,combo
0.884429,split_16,optifit,test,fit
0.891709,split_17,optifit,test,combo
0.888622,split_17,optifit,test,fit
0.892071,split_18,optifit,test,combo
0.882991,split_18,optifit,test,fit
0.891576,split_19,optifit,test,combo
0.888466,split_19,optifit,test,fit
0.891502,split_20,optifit,test,combo
0.884092,split_20,optifit,test,fit
0.891842,split_21,optifit,test,combo
0.885168,split_21,optifit,test,fit
0.891805,split_22,optifit,test,combo
0.885553,split_22,optifit,test,fit
0.891227,split_23,optifit,test,combo
0.878897,split_23,optifit,test,fit
0.891395,split_24,optifit,test,combo
0.891547,split_24,optifit,test,fit
0.891244,split_25,optifit,test,combo
0.887081,split_25,optifit,test,fit
0.892,split_26,optifit,test,combo
0.894838,split_26,optifit,test,fit
0.891687,split_27,optifit,test,combo
0.881054,split_27,optifit,test,fit
0.891953,split_28,optifit,test,combo
0.890789,split_28,optifit,test,fit
0.89179,split_29,optifit,test,combo
0.877553,split_29,optifit,test,fit
0.891901,split_30,optifit,test,combo
0.885028,split_30,optifit,test,fit
0.891261,split_31,optifit,test,combo
0.882763,split_31,optifit,test,fit
