mtry,AUC,split,algorithm
350,0.6909714857459271,split_28,opticlust
68,0.706728899265918,split_29,opticlust
137,0.7123931936721322,split_29,opticlust
274,0.7138362218362402,split_29,opticlust
350,0.7140103565107321,split_29,opticlust
68,0.7085741445286269,split_30,opticlust
137,0.7144651641350079,split_30,opticlust
274,0.7160996887074835,split_30,opticlust
350,0.7161730703272338,split_30,opticlust
68,0.6880523238136516,split_31,opticlust
137,0.691624038256795,split_31,opticlust
274,0.6928137086636507,split_31,opticlust
350,0.6920632813812615,split_31,opticlust
68,0.6899113091335931,split_32,opticlust
137,0.6928684564587951,split_32,opticlust
274,0.6953216579037788,split_32,opticlust
350,0.695410086282458,split_32,opticlust
68,0.6826422321216868,split_33,opticlust
137,0.6860255565090094,split_33,opticlust
274,0.6892986682757846,split_33,opticlust
350,0.6897415184432075,split_33,opticlust
68,0.692993031891243,split_34,opticlust
137,0.6978719230403574,split_34,opticlust
274,0.7012302256831467,split_34,opticlust
350,0.703167507071141,split_34,opticlust
68,0.6815359317581009,split_35,opticlust
137,0.6814894590952665,split_35,opticlust
274,0.6796756103217926,split_35,opticlust
350,0.6782651186077403,split_35,opticlust
68,0.6892464893605939,split_36,opticlust
137,0.6913218798652061,split_36,opticlust
274,0.6924671102353056,split_36,opticlust
350,0.6913736460767863,split_36,opticlust
68,0.6798111473395572,split_37,opticlust
137,0.6850466166574686,split_37,opticlust
274,0.6855636472709526,split_37,opticlust
350,0.6864482276626963,split_37,opticlust
68,0.7111357304943812,split_38,opticlust
137,0.7153086753035409,split_38,opticlust
274,0.7164201662742671,split_38,opticlust
350,0.7167126766022368,split_38,opticlust
68,0.6840792946703638,split_39,opticlust
137,0.6882738248774724,split_39,opticlust
274,0.6909497917327514,split_39,opticlust
350,0.6904393259902574,split_39,opticlust
68,0.7058898236254499,split_40,opticlust
137,0.7113760706377364,split_40,opticlust
274,0.7156740557540453,split_40,opticlust
350,0.7158253313595897,split_40,opticlust
68,0.6898242819444536,split_41,opticlust
137,0.6939361348763196,split_41,opticlust
274,0.6959789097394506,split_41,opticlust
350,0.6955614542418239,split_41,opticlust
68,0.7001917277078447,split_42,opticlust
137,0.703394396899893,split_42,opticlust
274,0.7043474232448267,split_42,opticlust
350,0.7048034590264118,split_42,opticlust
68,0.712347849158651,split_43,opticlust
137,0.7162766307362437,split_43,opticlust
274,0.7185553291428016,split_43,opticlust
350,0.7194420205048789,split_43,opticlust
68,0.6890616694630604,split_44,opticlust
137,0.6926480438840025,split_44,opticlust
274,0.6941113776947804,split_44,opticlust
350,0.6941671142311893,split_44,opticlust
68,0.6900825920574637,split_45,opticlust
