mtry,AUC,algorithm,split
137,0.6969184702941756,opticlust_denovo,split_11
274,0.7000892901166798,opticlust_denovo,split_11
350,0.6992461061011086,opticlust_denovo,split_11
30,0.6897514931410377,opticlust_denovo,split_12
68,0.6991035580997851,opticlust_denovo,split_12
137,0.7040423221296858,opticlust_denovo,split_12
274,0.7081542408756599,opticlust_denovo,split_12
350,0.70688348367553,opticlust_denovo,split_12
30,0.6773223153351462,opticlust_denovo,split_13
68,0.6877268989778678,opticlust_denovo,split_13
137,0.691587360353784,opticlust_denovo,split_13
274,0.6970116101559558,opticlust_denovo,split_13
350,0.6967909085124784,opticlust_denovo,split_13
30,0.6950732348782397,opticlust_denovo,split_14
68,0.7056581289115686,opticlust_denovo,split_14
137,0.7115802498883352,opticlust_denovo,split_14
274,0.7169369639616398,opticlust_denovo,split_14
350,0.7174759730430762,opticlust_denovo,split_14
30,0.6830830925190596,opticlust_denovo,split_15
68,0.6960549662991389,opticlust_denovo,split_15
137,0.702979140087933,opticlust_denovo,split_15
274,0.7080918816585321,opticlust_denovo,split_15
350,0.7073528317290367,opticlust_denovo,split_15
30,0.6902499653889064,opticlust_denovo,split_16
68,0.6979471944606049,opticlust_denovo,split_16
137,0.7020772018806776,opticlust_denovo,split_16
274,0.7043609851465781,opticlust_denovo,split_16
350,0.7045659032743987,opticlust_denovo,split_16
30,0.6913749765574838,opticlust_denovo,split_17
68,0.7001128788058452,opticlust_denovo,split_17
137,0.704507657505822,opticlust_denovo,split_17
274,0.7074340854518253,opticlust_denovo,split_17
350,0.7095077976021442,opticlust_denovo,split_17
30,0.6832185984726136,opticlust_denovo,split_18
68,0.6896584119952472,opticlust_denovo,split_18
137,0.6902108598361951,opticlust_denovo,split_18
274,0.6913020987950466,opticlust_denovo,split_18
350,0.6893982528253331,opticlust_denovo,split_18
30,0.6955762386753926,opticlust_denovo,split_19
68,0.7010386689162291,opticlust_denovo,split_19
137,0.7053902548041666,opticlust_denovo,split_19
274,0.7050287609525734,opticlust_denovo,split_19
350,0.7070085598518083,opticlust_denovo,split_19
30,0.6757150021509608,opticlust_denovo,split_20
68,0.6842564744929336,opticlust_denovo,split_20
137,0.6892051593300745,opticlust_denovo,split_20
274,0.6899206389365969,opticlust_denovo,split_20
350,0.6896805444709633,opticlust_denovo,split_20
30,0.6998843559883839,opticlust_denovo,split_21
68,0.7062621166338791,opticlust_denovo,split_21
137,0.7094735382908776,opticlust_denovo,split_21
274,0.7088033841813792,opticlust_denovo,split_21
350,0.7067041889999591,opticlust_denovo,split_21
30,0.6652273901857081,opticlust_denovo,split_22
68,0.6753962155504925,opticlust_denovo,split_22
137,0.6823556422843255,opticlust_denovo,split_22
274,0.6835998630354877,opticlust_denovo,split_22
350,0.6855329369258807,opticlust_denovo,split_22
30,0.6933467235078891,opticlust_denovo,split_23
68,0.7019762463082901,opticlust_denovo,split_23
137,0.7127403964296284,opticlust_denovo,split_23
274,0.7144788802208729,opticlust_denovo,split_23
350,0.7149151700522567,opticlust_denovo,split_23
30,0.6687658807893092,opticlust_denovo,split_24
68,0.6765699581210743,opticlust_denovo,split_24
137,0.6813271501587788,opticlust_denovo,split_24
274,0.6852770298642911,opticlust_denovo,split_24
350,0.6856850038017256,opticlust_denovo,split_24
30,0.6729124521223023,opticlust_denovo,split_25
68,0.6780928593994714,opticlust_denovo,split_25
137,0.6845806119422874,opticlust_denovo,split_25
274,0.6873647957088304,opticlust_denovo,split_25
350,0.6852574614501863,opticlust_denovo,split_25
30,0.703282025351994,opticlust_denovo,split_26
68,0.7094281123593023,opticlust_denovo,split_26
137,0.713201066156431,opticlust_denovo,split_26
274,0.7170664194135171,opticlust_denovo,split_26
350,0.7173450268173432,opticlust_denovo,split_26
30,0.7021815698626225,opticlust_denovo,split_27
68,0.709616333989846,opticlust_denovo,split_27
137,0.7150135692808002,opticlust_denovo,split_27
274,0.7174536693653896,opticlust_denovo,split_27
350,0.7168408787731911,opticlust_denovo,split_27
30,0.6755480514687902,opticlust_denovo,split_28
68,0.6794988699885416,opticlust_denovo,split_28
137,0.6830971938484169,opticlust_denovo,split_28
274,0.6832555565405263,opticlust_denovo,split_28
350,0.6827564883699546,opticlust_denovo,split_28
30,0.7060060468121556,opticlust_denovo,split_29
68,0.7128471940911171,opticlust_denovo,split_29
137,0.7187938063944879,opticlust_denovo,split_29
274,0.7226989693408117,opticlust_denovo,split_29
