mcc,split,algorithm,subset,state
0.87050399999999994,split_61,optifit,test,fit
0.876095,split_62,optifit,test,combo
0.865348,split_62,optifit,test,fit
0.87665,split_63,optifit,test,combo
0.869002,split_63,optifit,test,fit
0.880377,split_64,optifit,test,combo
0.869134,split_64,optifit,test,fit
0.879906,split_65,optifit,test,combo
0.870396,split_65,optifit,test,fit
0.880509,split_66,optifit,test,combo
0.873992,split_66,optifit,test,fit
0.880031,split_67,optifit,test,combo
0.872969,split_67,optifit,test,fit
0.879861,split_68,optifit,test,combo
0.876952,split_68,optifit,test,fit
0.880083,split_69,optifit,test,combo
0.8693,split_69,optifit,test,fit
0.880553,split_7,optifit,test,combo
0.879157,split_7,optifit,test,fit
0.88032,split_70,optifit,test,combo
0.885529,split_70,optifit,test,fit
0.880197,split_71,optifit,test,combo
0.869389,split_71,optifit,test,fit
0.876916,split_72,optifit,test,combo
0.87471,split_72,optifit,test,fit
0.880147,split_73,optifit,test,combo
0.863505,split_73,optifit,test,fit
0.880431,split_74,optifit,test,combo
0.872532,split_74,optifit,test,fit
0.880315,split_75,optifit,test,combo
0.885488,split_75,optifit,test,fit
0.877114,split_76,optifit,test,combo
0.870526,split_76,optifit,test,fit
0.880292,split_77,optifit,test,combo
0.876424,split_77,optifit,test,fit
0.88046,split_78,optifit,test,combo
0.873766,split_78,optifit,test,fit
0.880066,split_79,optifit,test,combo
0.863093,split_79,optifit,test,fit
0.880092,split_8,optifit,test,combo
0.87881,split_8,optifit,test,fit
0.880153,split_80,optifit,test,combo
0.870976,split_80,optifit,test,fit
0.879762,split_81,optifit,test,combo
0.872984,split_81,optifit,test,fit
0.880239,split_82,optifit,test,combo
0.876686,split_82,optifit,test,fit
0.880119,split_83,optifit,test,combo
0.883643,split_83,optifit,test,fit
0.880462,split_84,optifit,test,combo
0.883893,split_84,optifit,test,fit
0.880083,split_85,optifit,test,combo
0.872633,split_85,optifit,test,fit
0.880051,split_86,optifit,test,combo
0.865415,split_86,optifit,test,fit
0.880069,split_87,optifit,test,combo
