cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,algorithm,split
0.714915170052257,0.644596129288152,0.650834403080873,0.631919347780141,0.63265306122449,0.21285140562249,0.714285714285714,0.789473684210526,0.414634146341463,0.652173913043478,0.586206896551724,0.652173913043478,0.789473684210526,0.459183673469388,0.602053915275995,rf,23,opticlust_denovo,split_23
0.685685003801726,0.612659098897734,0.744949494949495,0.721002311274759,0.693877551020408,0.378698224852071,0.727272727272727,0.740740740740741,0.636363636363636,0.714285714285714,0.666666666666667,0.714285714285714,0.740740740740741,0.408163265306122,0.688552188552189,rf,24,opticlust_denovo,split_24
0.68736479570883,0.618352751655493,0.781602002503129,0.747148767477227,0.653061224489796,0.318609406952965,0.564102564102564,0.431372549019608,0.893617021276596,0.814814814814815,0.591549295774648,0.814814814814815,0.431372549019608,0.224489795918367,0.662494785148102,rf,25,opticlust_denovo,split_25
0.717345026817343,0.654728051547183,0.630817610062893,0.618874751493256,0.63265306122449,0.255382017729,0.672727272727273,0.69811320754717,0.555555555555556,0.649122807017544,0.609756097560976,0.649122807017544,0.69811320754717,0.377551020408163,0.626834381551363,rf,26,opticlust_denovo,split_26
0.71745366936539,0.656153215824933,0.646948160535117,0.618518451130042,0.642857142857143,0.27299703264095,0.695652173913043,0.769230769230769,0.5,0.634920634920635,0.657142857142857,0.634920634920635,0.769230769230769,0.408163265306122,0.634615384615385,rf,27,opticlust_denovo,split_27
0.683255556540526,0.613446457167499,0.755555555555556,0.719241791809047,0.724489795918367,0.396166134185304,0.78740157480315,0.793650793650794,0.6,0.78125,0.617647058823529,0.78125,0.793650793650794,0.510204081632653,0.696825396825397,rf,28,opticlust_denovo,split_28
0.723196356341337,0.652749520894713,0.617772108843537,0.605069608149862,0.591836734693878,0.151515151515152,0.661016949152542,0.696428571428571,0.452380952380952,0.629032258064516,0.527777777777778,0.629032258064516,0.696428571428571,0.397959183673469,0.574404761904762,rf,29,opticlust_denovo,split_29
0.721678277626429,0.64138091733801,0.674213836477987,0.656128700906662,0.642857142857143,0.26236559139785,0.710743801652893,0.811320754716981,0.444444444444444,0.632352941176471,0.666666666666667,0.632352941176471,0.811320754716981,0.438775510204082,0.627882599580713,rf,30,opticlust_denovo,split_30
0.699961470522307,0.623533854146884,0.722935387248609,0.684962410245087,0.663265306122449,0.31044776119403,0.707964601769911,0.701754385964912,0.609756097560976,0.714285714285714,0.595238095238095,0.714285714285714,0.701754385964912,0.408163265306122,0.655755241762944,rf,31,opticlust_denovo,split_31
0.691612095539069,0.624302481926682,0.717563621193158,0.69512568658425,0.642857142857143,0.274227676682184,0.705882352941177,0.823529411764706,0.446808510638298,0.617647058823529,0.7,0.617647058823529,0.823529411764706,0.428571428571429,0.635168961201502,rf,32,opticlust_denovo,split_32
0.692443485294223,0.617893669831588,0.738005840634126,0.702863678274162,0.693877551020408,0.375265618359541,0.758064516129032,0.92156862745098,0.446808510638298,0.643835616438356,0.84,0.643835616438356,0.92156862745098,0.479591836734694,0.684188569044639,rf,33,opticlust_denovo,split_33
0.704490183587228,0.622829813651064,0.710349462365591,0.674629141091912,0.663265306122449,0.271293375394322,0.736,0.741935483870968,0.527777777777778,0.73015873015873,0.542857142857143,0.73015873015873,0.741935483870968,0.469387755102041,0.634856630824373,rf,34,opticlust_denovo,split_34
