algorithm,split,n_feats
optifit_self,61,5336
optifit_self,62,5408
optifit_self,63,5330
optifit_self,64,5417
optifit_self,65,5444
optifit_self,66,5457
optifit_self,67,5344
optifit_self,68,5342
optifit_self,69,5399
optifit_self,70,5464
optifit_self,71,5504
optifit_self,72,5391
optifit_self,73,5359
optifit_self,74,5401
optifit_self,75,5494
optifit_self,76,5364
optifit_self,77,5458
optifit_self,78,5446
optifit_self,79,5388
optifit_self,80,5460
optifit_self,81,5338
optifit_self,82,5376
optifit_self,83,5371
optifit_self,84,5469
optifit_self,85,5453
optifit_self,86,5373
optifit_self,87,5514
optifit_self,88,5416
optifit_self,89,5409
optifit_self,90,5548
optifit_self,91,5534
optifit_self,92,5415
optifit_self,93,5518
optifit_self,94,5435
optifit_self,95,5463
optifit_self,96,5468
optifit_self,97,5311
optifit_self,98,5377
optifit_self,99,5418
optifit_self,100,5513
optifit_gg,1,1825
optifit_gg,2,1828
optifit_gg,3,1809
optifit_gg,4,1812
optifit_gg,5,1842
optifit_gg,6,1823
optifit_gg,7,1823
optifit_gg,8,1796
optifit_gg,9,1829
optifit_gg,10,1822
optifit_gg,11,1823
optifit_gg,12,1838
optifit_gg,13,1828
optifit_gg,14,1821
optifit_gg,15,1818
optifit_gg,16,1805
optifit_gg,17,1827
optifit_gg,18,1834
optifit_gg,19,1826
optifit_gg,20,1837
optifit_gg,21,1830
optifit_gg,22,1824
optifit_gg,23,1829
optifit_gg,24,1815
optifit_gg,25,1824
optifit_gg,26,1802
optifit_gg,27,1820
optifit_gg,28,1830
optifit_gg,29,1830
optifit_gg,30,1859
optifit_gg,31,1809
optifit_gg,32,1827
optifit_gg,33,1832
optifit_gg,34,1838
optifit_gg,35,1833
optifit_gg,36,1828
optifit_gg,37,1813
optifit_gg,38,1823
optifit_gg,39,1809
optifit_gg,40,1837
optifit_gg,41,1838
optifit_gg,42,1833
optifit_gg,43,1833
optifit_gg,44,1813
optifit_gg,45,1832
optifit_gg,46,1820
optifit_gg,47,1822
optifit_gg,48,1825
optifit_gg,49,1843
optifit_gg,50,1831
optifit_gg,51,1802
optifit_gg,52,1831
optifit_gg,53,1823
optifit_gg,54,1823
optifit_gg,55,1821
optifit_gg,56,1814
optifit_gg,57,1826
optifit_gg,58,1849
optifit_gg,59,1817
optifit_gg,60,1810
optifit_gg,61,1829
optifit_gg,62,1831
optifit_gg,63,1823
optifit_gg,64,1843
optifit_gg,65,1814
optifit_gg,66,1829
optifit_gg,67,1813
optifit_gg,68,1827
optifit_gg,69,1829
optifit_gg,70,1829
optifit_gg,71,1835
optifit_gg,72,1830
optifit_gg,73,1803
optifit_gg,74,1806
optifit_gg,75,1837
optifit_gg,76,1821
optifit_gg,77,1834
optifit_gg,78,1830
optifit_gg,79,1815
optifit_gg,80,1832
optifit_gg,81,1825
optifit_gg,82,1835
optifit_gg,83,1809
optifit_gg,84,1842
optifit_gg,85,1844
optifit_gg,86,1819
optifit_gg,87,1855
optifit_gg,88,1813
optifit_gg,89,1820
optifit_gg,90,1815
optifit_gg,91,1844
optifit_gg,92,1851
optifit_gg,93,1826
optifit_gg,94,1829
optifit_gg,95,1814
optifit_gg,96,1818
optifit_gg,97,1814
optifit_gg,98,1813
optifit_gg,99,1819
optifit_gg,100,1832
vsearch_denovo,1,5536
vsearch_denovo,2,5606
vsearch_denovo,3,5539
vsearch_denovo,4,5512
vsearch_denovo,5,5612
vsearch_denovo,6,5537
vsearch_denovo,7,5559
vsearch_denovo,8,5501
vsearch_denovo,9,5630
vsearch_denovo,10,5461
vsearch_denovo,11,5516
vsearch_denovo,12,5567
vsearch_denovo,13,5561
vsearch_denovo,14,5544
vsearch_denovo,15,5540
vsearch_denovo,16,5578
vsearch_denovo,17,5588
vsearch_denovo,18,5597
vsearch_denovo,19,5596
vsearch_denovo,20,5536
vsearch_denovo,21,5584
vsearch_denovo,22,5526
vsearch_denovo,23,5606
vsearch_denovo,24,5550
vsearch_denovo,25,5529
vsearch_denovo,26,5470
vsearch_denovo,27,5543
vsearch_denovo,28,5537
vsearch_denovo,29,5563
vsearch_denovo,30,5566
vsearch_denovo,31,5526
vsearch_denovo,32,5517
vsearch_denovo,33,5548
vsearch_denovo,34,5563
vsearch_denovo,35,5491
vsearch_denovo,36,5534
vsearch_denovo,37,5511
vsearch_denovo,38,5492
vsearch_denovo,39,5549
vsearch_denovo,40,5538
vsearch_denovo,41,5580
vsearch_denovo,42,5577
vsearch_denovo,43,5605
vsearch_denovo,44,5572
vsearch_denovo,45,5561
vsearch_denovo,46,5553
vsearch_denovo,47,5577
vsearch_denovo,48,5608
vsearch_denovo,49,5517
vsearch_denovo,50,5611
vsearch_denovo,51,5522
vsearch_denovo,52,5561
vsearch_denovo,53,5596
vsearch_denovo,54,5567
vsearch_denovo,55,5520
vsearch_denovo,56,5489
vsearch_denovo,57,5606
vsearch_denovo,58,5540
vsearch_denovo,59,5528
vsearch_denovo,60,5569
vsearch_denovo,61,5504
vsearch_denovo,62,5565
vsearch_denovo,63,5515
vsearch_denovo,64,5557
vsearch_denovo,65,5565
vsearch_denovo,66,5587
vsearch_denovo,67,5453
vsearch_denovo,68,5529
vsearch_denovo,69,5554
vsearch_denovo,70,5591
vsearch_denovo,71,5630
vsearch_denovo,72,5518
vsearch_denovo,73,5510
vsearch_denovo,74,5544
vsearch_denovo,75,5638
vsearch_denovo,76,5507
vsearch_denovo,77,5562
vsearch_denovo,78,5520
vsearch_denovo,79,5491
vsearch_denovo,80,5590
vsearch_denovo,81,5520
vsearch_denovo,82,5545
vsearch_denovo,83,5527
vsearch_denovo,84,5547
vsearch_denovo,85,5598
vsearch_denovo,86,5459
vsearch_denovo,87,5567
vsearch_denovo,88,5573
vsearch_denovo,89,5541
vsearch_denovo,90,5536
vsearch_denovo,91,5597
vsearch_denovo,92,5584
vsearch_denovo,93,5566
vsearch_denovo,94,5608
vsearch_denovo,95,5543
vsearch_denovo,96,5583
vsearch_denovo,97,5510
vsearch_denovo,98,5550
vsearch_denovo,99,5576
vsearch_denovo,100,5583
vsearch_gg,1,3829
vsearch_gg,2,3827
vsearch_gg,3,3800
vsearch_gg,4,3805
vsearch_gg,5,3834
vsearch_gg,6,3804
vsearch_gg,7,3796
vsearch_gg,8,3804
vsearch_gg,9,3828
vsearch_gg,10,3805
vsearch_gg,11,3775
vsearch_gg,12,3825
vsearch_gg,13,3793
vsearch_gg,14,3811
vsearch_gg,15,3798
vsearch_gg,16,3801
vsearch_gg,17,3812
vsearch_gg,18,3820
vsearch_gg,19,3828
vsearch_gg,20,3815
vsearch_gg,21,3842
vsearch_gg,22,3780
vsearch_gg,23,3830
vsearch_gg,24,3782
vsearch_gg,25,3783
vsearch_gg,26,3769
vsearch_gg,27,3814
vsearch_gg,28,3811
vsearch_gg,29,3809
vsearch_gg,30,3849
vsearch_gg,31,3773
vsearch_gg,32,3811
vsearch_gg,33,3833
vsearch_gg,34,3824
vsearch_gg,35,3802
vsearch_gg,36,3794
vsearch_gg,37,3801
vsearch_gg,38,3794
vsearch_gg,39,3795
vsearch_gg,40,3830
vsearch_gg,41,3819
vsearch_gg,42,3804
vsearch_gg,43,3811
vsearch_gg,44,3799
vsearch_gg,45,3810
vsearch_gg,46,3793
vsearch_gg,47,3787
vsearch_gg,48,3794
vsearch_gg,49,3824
vsearch_gg,50,3816
vsearch_gg,51,3779
vsearch_gg,52,3809
vsearch_gg,53,3800
vsearch_gg,54,3832
vsearch_gg,55,3790
vsearch_gg,56,3804
vsearch_gg,57,3800
vsearch_gg,58,3822
vsearch_gg,59,3815
vsearch_gg,60,3765
vsearch_gg,61,3812
vsearch_gg,62,3820
vsearch_gg,63,3811
vsearch_gg,64,3816
vsearch_gg,65,3800
vsearch_gg,66,3782
vsearch_gg,67,3781
vsearch_gg,68,3809
vsearch_gg,69,3796
vsearch_gg,70,3809
vsearch_gg,71,3830
vsearch_gg,72,3794
vsearch_gg,73,3812
vsearch_gg,74,3800
vsearch_gg,75,3824
vsearch_gg,76,3786
vsearch_gg,77,3781
vsearch_gg,78,3829
vsearch_gg,79,3761
vsearch_gg,80,3810
vsearch_gg,81,3817
vsearch_gg,82,3825
vsearch_gg,83,3819
vsearch_gg,84,3807
vsearch_gg,85,3791
vsearch_gg,86,3777
vsearch_gg,87,3833
vsearch_gg,88,3815
vsearch_gg,89,3805
vsearch_gg,90,3805
vsearch_gg,91,3820
vsearch_gg,92,3840
vsearch_gg,93,3837
vsearch_gg,94,3822
vsearch_gg,95,3805
vsearch_gg,96,3809
vsearch_gg,97,3787
vsearch_gg,98,3803
vsearch_gg,99,3800
vsearch_gg,100,3803
