mcc,split,algorithm,subset,state
0.879978,split_90,optifit_self,test,combo
0.874757,split_90,optifit_self,test,fit
0.879982,split_91,optifit_self,test,combo
0.875109,split_91,optifit_self,test,fit
0.879811,split_92,optifit_self,test,combo
0.862796,split_92,optifit_self,test,fit
0.880243,split_93,optifit_self,test,combo
0.868565,split_93,optifit_self,test,fit
0.880027,split_94,optifit_self,test,combo
0.873812,split_94,optifit_self,test,fit
0.87981,split_95,optifit_self,test,combo
0.868558,split_95,optifit_self,test,fit
0.879804,split_96,optifit_self,test,combo
0.879765,split_96,optifit_self,test,fit
0.880165,split_97,optifit_self,test,combo
0.87281,split_97,optifit_self,test,fit
0.880152,split_98,optifit_self,test,combo
0.875902,split_98,optifit_self,test,fit
0.88005,split_99,optifit_self,test,combo
0.875661,split_99,optifit_self,test,fit
0.876993,split_100,optifit_self,test,combo
0.870461,split_100,optifit_self,test,fit
0.786,NA,optifit_gg,NA,NA
0.5312,NA,vsearch_gg,NA,NA
0.6407,NA,vsearch_denovo,NA,NA
