label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.75314e+07	7.42824e+09	2.50827e+06	3.92092e+06	0.875338	0.999662	0.916501	0.999472	0.916501	0.999138	0.895253	0.895447	
0.03	0.03	2.74446e+07	7.44066e+09	2.35795e+06	4.08273e+06	0.870502	0.999683	0.920881	0.999452	0.920881	0.999138	0.894908	0.894983	
0.03	0.03	2.74337e+07	7.43019e+09	2.39008e+06	4.0218e+06	0.872143	0.999678	0.91986	0.999459	0.91986	0.999141	0.895255	0.895366	
0.03	0.03	2.76202e+07	7.42006e+09	2.6642e+06	3.7954e+06	0.879187	0.999641	0.912027	0.999489	0.912027	0.999133	0.895023	0.895306	
0.03	0.03	2.75809e+07	7.44406e+09	2.50095e+06	3.95197e+06	0.874671	0.999664	0.916862	0.999469	0.916862	0.999137	0.895087	0.89527	
0.03	0.03	2.74579e+07	7.43212e+09	2.38654e+06	4.02628e+06	0.872118	0.999679	0.920034	0.999459	0.920034	0.999141	0.895327	0.895435	
0.03	0.03	2.72907e+07	7.40447e+09	2.3231e+06	4.07467e+06	0.87009	0.999686	0.921553	0.99945	0.921553	0.99914	0.895023	0.895083	
0.03	0.03	2.74307e+07	7.35975e+09	2.66456e+06	3.73689e+06	0.880103	0.999638	0.911463	0.999493	0.911463	0.999134	0.895212	0.895509	
0.03	0.03	2.74203e+07	7.42581e+09	2.39027e+06	4.01628e+06	0.872242	0.999678	0.919818	0.999459	0.919818	0.999141	0.895286	0.895399	
0.03	0.03	2.74556e+07	7.42064e+09	2.3675e+06	4.04649e+06	0.871548	0.999681	0.920615	0.999455	0.920615	0.99914	0.895317	0.89541	
0.03	0.03	2.7557e+07	7.4386e+09	2.53009e+06	3.90657e+06	0.875838	0.99966	0.915908	0.999475	0.915908	0.999139	0.895218	0.895425	
0.03	0.03	2.73705e+07	7.41061e+09	2.37174e+06	4.03139e+06	0.87162	0.99968	0.920257	0.999456	0.920257	0.99914	0.895179	0.895278	
0.03	0.03	2.75734e+07	7.42279e+09	2.62113e+06	3.84658e+06	0.877575	0.999647	0.913192	0.999482	0.913192	0.999133	0.894772	0.895029	
0.03	0.03	2.74508e+07	7.39808e+09	2.37115e+06	4.03834e+06	0.871755	0.99968	0.92049	0.999454	0.92049	0.999138	0.895361	0.89546	
0.03	0.03	2.75518e+07	7.42798e+09	2.52128e+06	3.91121e+06	0.875689	0.999661	0.916161	0.999474	0.916161	0.999138	0.895266	0.895468	
0.03	0.03	2.74553e+07	7.41047e+09	2.59733e+06	3.86136e+06	0.8767	0.99965	0.913574	0.999479	0.913574	0.999132	0.894513	0.894757	
0.03	0.03	2.77336e+07	7.43776e+09	2.70189e+06	3.78729e+06	0.879848	0.999637	0.911226	0.999491	0.911226	0.999132	0.894965	0.895262	
0.03	0.03	2.74591e+07	7.41673e+09	2.39417e+06	4.02196e+06	0.872242	0.999677	0.919802	0.999458	0.919802	0.999139	0.895277	0.895391	
0.03	0.03	2.75995e+07	7.44014e+09	2.50809e+06	3.93187e+06	0.875303	0.999663	0.916696	0.999472	0.916696	0.999138	0.89533	0.895521	
0.03	0.03	2.73765e+07	7.4183e+09	2.38297e+06	4.00894e+06	0.872268	0.999679	0.919926	0.99946	0.919926	0.999142	0.895352	0.895463	
0.03	0.03	2.77304e+07	7.43104e+09	2.71405e+06	3.77115e+06	0.880287	0.999635	0.910852	0.999493	0.910852	0.999131	0.895004	0.895309	
0.03	0.03	2.76083e+07	7.41142e+09	2.67172e+06	3.77745e+06	0.879644	0.99964	0.911766	0.999491	0.911766	0.999134	0.895128	0.895417	
0.03	0.03	2.73598e+07	7.42343e+09	2.36411e+06	4.04131e+06	0.871301	0.999682	0.920464	0.999456	0.920464	0.999141	0.895117	0.895208	
0.03	0.03	2.74642e+07	7.42869e+09	2.37788e+06	4.04264e+06	0.87169	0.99968	0.920318	0.999456	0.920318	0.99914	0.895245	0.895344	
0.03	0.03	2.71755e+07	7.31967e+09	2.33365e+06	3.96856e+06	0.872574	0.999681	0.920918	0.999458	0.920918	0.999143	0.895993	0.896094	
0.03	0.03	2.74555e+07	7.44092e+09	2.39424e+06	4.02793e+06	0.872062	0.999678	0.91979	0.999459	0.91979	0.999141	0.89518	0.89529	
0.03	0.03	2.72201e+07	7.43622e+09	2.28538e+06	4.30459e+06	0.863454	0.999693	0.922544	0.999421	0.922544	0.999118	0.892071	0.892021	
0.03	0.03	2.73204e+07	7.40627e+09	2.39717e+06	4.00167e+06	0.872241	0.999676	0.919335	0.99946	0.919335	0.99914	0.895049	0.895169	
0.03	0.03	2.74725e+07	7.4376e+09	2.39226e+06	4.02702e+06	0.872156	0.999678	0.919897	0.999459	0.919897	0.999141	0.89528	0.89539	
0.03	0.03	2.73441e+07	7.43038e+09	2.46255e+06	4.09075e+06	0.869866	0.999669	0.917383	0.99945	0.917383	0.999122	0.89287	0.892992	
0.03	0.03	2.74732e+07	7.42758e+09	2.40653e+06	4.01e+06	0.872631	0.999676	0.91946	0.99946	0.91946	0.99914	0.89531	0.895433	
0.03	0.03	2.75587e+07	7.44274e+09	2.50348e+06	3.94614e+06	0.874745	0.999664	0.916723	0.99947	0.916723	0.999137	0.895057	0.895242	
0.03	0.03	2.74665e+07	7.43712e+09	2.37408e+06	4.04475e+06	0.871641	0.999681	0.920441	0.999456	0.920441	0.999141	0.89528	0.895376	
0.03	0.03	2.74463e+07	7.43739e+09	2.38914e+06	4.02565e+06	0.872088	0.999679	0.919923	0.999459	0.919923	0.999141	0.895258	0.895367	
0.03	0.03	2.77002e+07	7.43841e+09	2.71244e+06	3.77444e+06	0.88008	0.999635	0.910812	0.999493	0.910812	0.999132	0.89488	0.895182	
0.03	0.03	2.75001e+07	7.44552e+09	2.38299e+06	4.04079e+06	0.871887	0.99968	0.920256	0.999458	0.920256	0.999141	0.895317	0.895419	
0.03	0.03	2.74698e+07	7.43711e+09	2.3829e+06	4.03599e+06	0.871897	0.99968	0.920178	0.999458	0.920178	0.999141	0.895284	0.895387	
0.03	0.03	2.72076e+07	7.38315e+09	2.36594e+06	3.98646e+06	0.872204	0.99968	0.919998	0.99946	0.919998	0.999144	0.895355	0.895464	
0.03	0.03	2.75455e+07	7.42384e+09	2.51493e+06	3.90871e+06	0.875734	0.999661	0.916338	0.999474	0.916338	0.999139	0.895375	0.895576	
0.03	0.03	2.76055e+07	7.43928e+09	2.51296e+06	3.92812e+06	0.875431	0.999662	0.916564	0.999472	0.916564	0.999138	0.895331	0.895525	
0.03	0.03	2.74633e+07	7.43444e+09	2.3908e+06	4.022e+06	0.872258	0.999679	0.919917	0.999459	0.919917	0.999141	0.895342	0.895454	
0.03	0.03	2.74428e+07	7.44373e+09	2.34787e+06	4.08492e+06	0.870434	0.999685	0.921188	0.999452	0.921188	0.99914	0.895022	0.895092	
0.03	0.03	2.75044e+07	7.43768e+09	2.39895e+06	4.02848e+06	0.872245	0.999678	0.919777	0.999459	0.919777	0.99914	0.895266	0.895381	
0.03	0.03	2.74338e+07	7.42433e+09	2.368e+06	4.04054e+06	0.871624	0.999681	0.920541	0.999456	0.920541	0.999141	0.895321	0.895415	
0.03	0.03	2.74349e+07	7.44007e+09	2.35062e+06	4.08488e+06	0.870402	0.999684	0.921082	0.999451	0.921082	0.999139	0.894954	0.895025	
0.03	0.03	2.74418e+07	7.43398e+09	2.37889e+06	4.02534e+06	0.872078	0.99968	0.920227	0.999459	0.920227	0.999142	0.895401	0.895506	
0.03	0.03	2.74194e+07	7.41824e+09	2.382e+06	4.03101e+06	0.871829	0.999679	0.920071	0.999457	0.920071	0.999139	0.895196	0.895301	
0.03	0.03	2.7511e+07	7.42557e+09	2.5075e+06	3.92671e+06	0.875095	0.999662	0.916468	0.999471	0.916468	0.999137	0.895112	0.895304	
0.03	0.03	2.7333e+07	7.40101e+09	2.37157e+06	4.0306e+06	0.871488	0.99968	0.920161	0.999456	0.920161	0.999139	0.895065	0.895164	
0.03	0.03	2.74335e+07	7.43797e+09	2.38872e+06	4.06562e+06	0.870929	0.999679	0.919901	0.999454	0.919901	0.999136	0.89465	0.894746	
0.03	0.03	2.74927e+07	7.40062e+09	2.50662e+06	3.87949e+06	0.87634	0.999661	0.916444	0.999476	0.916444	0.999141	0.895738	0.895943	
0.03	0.03	2.74698e+07	7.44603e+09	2.37767e+06	4.052e+06	0.871454	0.999681	0.920339	0.999456	0.920339	0.99914	0.895135	0.89523	
0.03	0.03	2.75915e+07	7.43893e+09	2.53186e+06	3.90352e+06	0.876059	0.99966	0.91595	0.999476	0.91595	0.999139	0.895352	0.895561	
0.03	0.03	2.77269e+07	7.42812e+09	2.6982e+06	3.78386e+06	0.879918	0.999637	0.911317	0.999491	0.911317	0.999131	0.895045	0.895342	
0.03	0.03	2.7391e+07	7.41716e+09	2.40742e+06	4.01539e+06	0.872147	0.999676	0.91921	0.999459	0.91921	0.999138	0.894939	0.89506	
0.03	0.03	2.74843e+07	7.4382e+09	2.39598e+06	4.02762e+06	0.872188	0.999678	0.919814	0.999459	0.919814	0.99914	0.895255	0.895368	
0.03	0.03	2.73541e+07	7.42916e+09	2.47566e+06	4.07366e+06	0.87038	0.999667	0.917007	0.999452	0.917007	0.999122	0.892951	0.893085	
0.03	0.03	2.75847e+07	7.42704e+09	2.59519e+06	3.8825e+06	0.876617	0.999651	0.914009	0.999478	0.914009	0.999132	0.894684	0.894923	
0.03	0.03	2.77027e+07	7.42572e+09	2.70721e+06	3.75532e+06	0.880624	0.999636	0.910976	0.999495	0.910976	0.999134	0.895238	0.895543	
0.03	0.03	2.75091e+07	7.40678e+09	2.50181e+06	3.92781e+06	0.875057	0.999662	0.916637	0.99947	0.916637	0.999136	0.895174	0.895365	
0.03	0.03	2.74334e+07	7.43897e+09	2.36081e+06	4.07375e+06	0.870704	0.999683	0.920763	0.999453	0.920763	0.999139	0.894954	0.895034	
0.03	0.03	2.75674e+07	7.41874e+09	2.5703e+06	3.91994e+06	0.875508	0.999654	0.914715	0.999472	0.914715	0.999129	0.894461	0.894682	
0.03	0.03	2.76198e+07	7.43104e+09	2.62178e+06	3.85441e+06	0.877537	0.999647	0.913305	0.999482	0.913305	0.999132	0.894809	0.895064	
0.03	0.03	2.75959e+07	7.44149e+09	2.51649e+06	3.92428e+06	0.875499	0.999662	0.91643	0.999473	0.91643	0.999138	0.8953	0.895497	
0.03	0.03	2.74518e+07	7.4237e+09	2.39129e+06	4.01968e+06	0.872276	0.999678	0.919871	0.999459	0.919871	0.99914	0.895329	0.895441	
0.03	0.03	2.74224e+07	7.4346e+09	2.38113e+06	4.03236e+06	0.871804	0.99968	0.920106	0.999458	0.920106	0.999141	0.895201	0.895304	
0.03	0.03	2.73866e+07	7.42645e+09	2.3573e+06	4.06004e+06	0.870891	0.999683	0.920747	0.999454	0.920747	0.99914	0.895043	0.895125	
0.03	0.03	2.75167e+07	7.44682e+09	2.43053e+06	4.01806e+06	0.872583	0.999674	0.91884	0.999461	0.91884	0.999138	0.894983	0.895114	
0.03	0.03	2.74597e+07	7.40174e+09	2.51866e+06	3.87849e+06	0.876237	0.99966	0.915984	0.999476	0.915984	0.99914	0.89546	0.89567	
0.03	0.03	2.71216e+07	7.36219e+09	2.34298e+06	3.99955e+06	0.871484	0.999682	0.920481	0.999457	0.920481	0.999142	0.89522	0.895313	
