iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
1	0.03	0.03	150	250	26912	6	93	0.7289	0.9998	0.9766	0.9966	0.9766	0.9964	0.8421	0.8347
1	0.03	0.03	170	321	37503	29	97	0.7679	0.9992	0.9171	0.9974	0.9171	0.9967	0.8376	0.8359
1	0.03	0.03	274	158	68400	4	73	0.684	0.9999	0.9753	0.9989	0.9753	0.9989	0.8163	0.8041
1	0.03	0.03	236	169	52717	5	84	0.668	0.9999	0.9713	0.9984	0.9713	0.9983	0.8048	0.7916
1	0.03	0.03	277	110	64806	1	63	0.6358	1	0.991	0.999	0.991	0.999	0.7934	0.7746
1	0.03	0.03	158	83	22461	0	34	0.7094	1	1	0.9985	1	0.9985	0.8416	0.83
1	0.03	0.03	106	149	13992	1	54	0.734	0.9999	0.9933	0.9962	0.9933	0.9961	0.8522	0.8442
1	0.03	0.03	393	799	240000	51	315	0.7172	0.9998	0.94	0.9987	0.94	0.9985	0.8204	0.8136
1	0.03	0.03	314	371	129788	12	134	0.7347	0.9999	0.9687	0.999	0.9687	0.9989	0.8431	0.8356
1	0.03	0.03	149	163	27260	4	68	0.7056	0.9999	0.976	0.9975	0.976	0.9974	0.8288	0.8191
1	0.03	0.03	249	199	56961	4	127	0.6104	0.9999	0.9803	0.9978	0.9803	0.9977	0.7726	0.7524
1	0.03	0.03	189	86	31228	1	60	0.589	1	0.9885	0.9981	0.9885	0.9981	0.7623	0.7382
1	0.03	0.03	266	130	63346	1	69	0.6533	1	0.9924	0.9989	0.9924	0.9989	0.8047	0.7879
1	0.03	0.03	375	167	118057	7	110	0.6029	0.9999	0.9598	0.9991	0.9598	0.999	0.7603	0.7406
1	0.03	0.03	216	188	51727	5	83	0.6937	0.9999	0.9741	0.9984	0.9741	0.9983	0.8213	0.8103
1	0.03	0.03	217	263	48164	8	81	0.7645	0.9998	0.9705	0.9983	0.9705	0.9982	0.8605	0.8553
1	0.03	0.03	115	42	10683	2	4	0.913	0.9998	0.9545	0.9996	0.9545	0.9994	0.9333	0.9333
1	0.03	0.03	308	272	94884	5	105	0.7215	0.9999	0.9819	0.9989	0.9819	0.9988	0.8412	0.8318
1	0.03	0.03	194	108	33767	1	54	0.6667	1	0.9908	0.9984	0.9908	0.9984	0.8121	0.797
1	0.03	0.03	235	290	76202	11	133	0.6856	0.9999	0.9635	0.9983	0.9635	0.9981	0.8119	0.8011
1	0.03	0.03	93	66	8302	1	16	0.8049	0.9999	0.9851	0.9981	0.9851	0.998	0.8895	0.8859
1	0.03	0.03	257	74	48696	1	57	0.5649	1	0.9867	0.9988	0.9867	0.9988	0.7461	0.7184
1	0.03	0.03	206	122	39134	3	81	0.601	0.9999	0.976	0.9979	0.976	0.9979	0.765	0.7439
1	0.03	0.03	148	99	19358	3	43	0.6972	0.9998	0.9706	0.9978	0.9706	0.9976	0.8216	0.8115
1	0.03	0.03	203	239	52274	11	126	0.6548	0.9998	0.956	0.9976	0.956	0.9974	0.7901	0.7772
1	0.03	0.03	266	126	59485	5	69	0.6462	0.9999	0.9618	0.9988	0.9618	0.9988	0.7878	0.773
1	0.03	0.03	215	156	49506	3	105	0.5977	0.9999	0.9811	0.9979	0.9811	0.9978	0.7649	0.7429
1	0.03	0.03	254	183	66131	6	110	0.6246	0.9999	0.9683	0.9983	0.9683	0.9983	0.7769	0.7593
1	0.03	0.03	166	84	25501	3	63	0.5714	0.9999	0.9655	0.9975	0.9655	0.9974	0.7418	0.7179
1	0.03	0.03	129	84	16685	6	61	0.5793	0.9996	0.9333	0.9964	0.9333	0.996	0.7337	0.7149
1	0.03	0.03	247	104	48936	2	99	0.5123	1	0.9811	0.998	0.9811	0.9979	0.7082	0.6731
1	0.03	0.03	195	60	29291	2	50	0.5455	0.9999	0.9677	0.9983	0.9677	0.9982	0.7259	0.6977
1	0.03	0.03	228	167	51723	8	105	0.614	0.9998	0.9543	0.998	0.9543	0.9978	0.7645	0.7472
1	0.03	0.03	164	240	35173	4	94	0.7186	0.9999	0.9836	0.9973	0.9836	0.9972	0.8395	0.8304
1	0.03	0.03	306	131	75661	0	63	0.6753	1	1	0.9992	1	0.9992	0.8214	0.8062
1	0.03	0.03	80	73	7633	3	41	0.6404	0.9996	0.9605	0.9947	0.9605	0.9943	0.7818	0.7684
1	0.03	0.03	207	152	39375	1	93	0.6204	1	0.9935	0.9976	0.9935	0.9976	0.7841	0.7638
1	0.03	0.03	165	43	19625	1	32	0.5733	0.9999	0.9773	0.9984	0.9773	0.9983	0.7479	0.7227
1	0.03	0.03	207	118	39134	1	87	0.5756	1	0.9916	0.9978	0.9916	0.9978	0.7546	0.7284
1	0.03	0.03	228	230	55277	4	100	0.697	0.9999	0.9829	0.9982	0.9829	0.9981	0.8269	0.8156
1	0.03	0.03	234	224	61787	8	109	0.6727	0.9999	0.9655	0.9982	0.9655	0.9981	0.8051	0.7929
1	0.03	0.03	258	159	62242	2	78	0.6709	1	0.9876	0.9987	0.9876	0.9987	0.8134	0.799
1	0.03	0.03	186	478	54292	24	152	0.7587	0.9996	0.9522	0.9972	0.9522	0.9968	0.8485	0.8445
1	0.03	0.03	383	266	145110	7	147	0.6441	1	0.9744	0.999	0.9744	0.9989	0.7917	0.7755
1	0.03	0.03	240	242	66062	8	118	0.6722	0.9999	0.968	0.9982	0.968	0.9981	0.8059	0.7934
1	0.03	0.03	246	165	61153	2	105	0.6111	1	0.988	0.9983	0.988	0.9983	0.7763	0.7551
1	0.03	0.03	199	180	40769	6	86	0.6767	0.9999	0.9677	0.9979	0.9677	0.9978	0.8083	0.7965
1	0.03	0.03	192	74	28802	1	43	0.6325	1	0.9867	0.9985	0.9867	0.9985	0.7893	0.7708
1	0.03	0.03	181	171	36544	11	130	0.5681	0.9997	0.9396	0.9965	0.9396	0.9962	0.729	0.7081
1	0.03	0.03	146	312	30219	7	90	0.7761	0.9998	0.9781	0.997	0.9781	0.9968	0.8698	0.8655
1	0.03	0.03	236	295	64530	13	142	0.6751	0.9998	0.9578	0.9978	0.9578	0.9976	0.8031	0.7919
1	0.03	0.03	213	157	46132	0	71	0.6886	1	1	0.9985	1	0.9985	0.8292	0.8156
1	0.03	0.03	147	478	43075	31	76	0.8628	0.9993	0.9391	0.9982	0.9391	0.9975	0.8989	0.8993
