label,cutoff,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,fdr,accuracy,mcc,f1score,sample,type
0.03,0.03,816,148497,48,517,0.612153,0.999677,0.944444,0.996531,0.944444,0.99623,0.75876,0.742831,2195651,optifit_in
0.03,0.03,597,199722,72,270,0.688581,0.99964,0.892377,0.99865,0.892377,0.998296,0.783086,0.777344,2197670,optifit_in
0.03,0.03,239,63458,10,196,0.549425,0.999842,0.959839,0.996921,0.959839,0.996776,0.724926,0.69883,2199650,optifit_in
0.03,0.03,954,290588,44,644,0.596996,0.999849,0.955912,0.997789,0.955912,0.997646,0.754461,0.734977,2201650,optifit_in
0.03,0.03,99,39177,2,62,0.614907,0.999949,0.980198,0.99842,0.980198,0.998373,0.775699,0.755725,2203653,optifit_in
0.03,0.03,364,185130,13,238,0.604651,0.99993,0.965517,0.998716,0.965517,0.998649,0.763516,0.743616,2205670,optifit_in
0.03,0.03,334,106400,16,203,0.621974,0.99985,0.954286,0.998096,0.954286,0.997952,0.769554,0.7531,2207653,optifit_in
0.03,0.03,937,334074,44,735,0.560407,0.999868,0.955148,0.997805,0.955148,0.99768,0.730695,0.70637,2215650,optifit_in
0.03,0.03,260,202685,10,248,0.511811,0.999951,0.962963,0.998778,0.962963,0.99873,0.701557,0.66838,2219650,optifit_in
0.03,0.03,1059,523957,64,745,0.587029,0.999878,0.94301,0.99858,0.94301,0.998461,0.743388,0.723608,2221650,optifit_in
0.03,0.03,432,140534,21,259,0.625181,0.999851,0.953642,0.99816,0.953642,0.998018,0.771302,0.755245,2223650,optifit_in
0.03,0.03,378,206426,13,229,0.622735,0.999937,0.966752,0.998892,0.966752,0.998831,0.775422,0.757515,2225650,optifit_in
0.03,0.03,884,533426,52,733,0.546691,0.999903,0.944444,0.998628,0.944444,0.998533,0.717968,0.692519,2227660,optifit_in
0.03,0.03,387,101659,12,320,0.547383,0.999882,0.969925,0.996862,0.969925,0.996757,0.727385,0.699819,2229653,optifit_in
