specificity,sensitivity,algorithm,split
0.29,0.7555555555555555,optifit,100
0.3,0.7555555555555555,optifit,100
0.31,0.7555555555555555,optifit,100
0.32,0.7555555555555555,optifit,100
0.33,0.7333333333333333,optifit,100
0.34,0.7333333333333333,optifit,100
0.35000000000000003,0.7333333333333333,optifit,100
0.36,0.7333333333333333,optifit,100
0.37,0.7333333333333333,optifit,100
0.38,0.7333333333333333,optifit,100
0.39,0.7333333333333333,optifit,100
0.4,0.7111111111111111,optifit,100
0.41000000000000003,0.7111111111111111,optifit,100
0.42,0.7111111111111111,optifit,100
0.43,0.7111111111111111,optifit,100
0.44,0.7111111111111111,optifit,100
0.45,0.7111111111111111,optifit,100
0.46,0.6666666666666666,optifit,100
0.47000000000000003,0.6666666666666666,optifit,100
0.48,0.6444444444444445,optifit,100
0.49,0.6444444444444445,optifit,100
0.5,0.6444444444444445,optifit,100
0.51,0.6444444444444445,optifit,100
0.52,0.6444444444444445,optifit,100
0.53,0.6,optifit,100
0.54,0.6,optifit,100
0.55,0.5777777777777777,optifit,100
0.56,0.5777777777777777,optifit,100
0.5700000000000001,0.5555555555555556,optifit,100
0.58,0.5555555555555556,optifit,100
0.59,0.5555555555555556,optifit,100
0.6,0.5555555555555556,optifit,100
0.61,0.4888888888888889,optifit,100
0.62,0.4888888888888889,optifit,100
0.63,0.4888888888888889,optifit,100
0.64,0.4888888888888889,optifit,100
0.65,0.4222222222222222,optifit,100
0.66,0.4222222222222222,optifit,100
0.67,0.4,optifit,100
0.68,0.4,optifit,100
0.6900000000000001,0.4,optifit,100
0.7000000000000001,0.4,optifit,100
0.71,0.4,optifit,100
0.72,0.4,optifit,100
0.73,0.4,optifit,100
0.74,0.4,optifit,100
0.75,0.4,optifit,100
0.76,0.4,optifit,100
0.77,0.4,optifit,100
0.78,0.3333333333333333,optifit,100
0.79,0.3333333333333333,optifit,100
0.8,0.3333333333333333,optifit,100
0.81,0.3333333333333333,optifit,100
0.8200000000000001,0.3333333333333333,optifit,100
0.8300000000000001,0.3333333333333333,optifit,100
0.84,0.3111111111111111,optifit,100
0.85,0.3111111111111111,optifit,100
0.86,0.3111111111111111,optifit,100
0.87,0.28888888888888886,optifit,100
0.88,0.28888888888888886,optifit,100
0.89,0.28888888888888886,optifit,100
0.9,0.28888888888888886,optifit,100
