mtry,AUC,split,algorithm
137,0.6825121985287266,split_50,opticlust
274,0.6844420756345085,split_50,opticlust
350,0.6849220438973825,split_50,opticlust
68,0.6697318235622551,split_51,opticlust
137,0.6720849508856644,split_51,opticlust
274,0.6749133836989253,split_51,opticlust
350,0.6746182507137644,split_51,opticlust
68,0.6621729042834782,split_52,opticlust
137,0.6650049493711839,split_52,opticlust
274,0.6642489319684357,split_52,opticlust
350,0.6627940921639631,split_52,opticlust
68,0.6816228745006916,split_53,opticlust
137,0.68419590531138,split_53,opticlust
274,0.6845897924522849,split_53,opticlust
350,0.6863969850470224,split_53,opticlust
68,0.6988239299422206,split_54,opticlust
137,0.7057338032235512,split_54,opticlust
274,0.7097154823991386,split_54,opticlust
350,0.7103744826036614,split_54,opticlust
68,0.7070973122007265,split_55,opticlust
137,0.7121345974111848,split_55,opticlust
274,0.7128980847283322,split_55,opticlust
350,0.7126771205230055,split_55,opticlust
68,0.7115496664505357,split_56,opticlust
137,0.7158458521484635,split_56,opticlust
274,0.716379161256673,split_56,opticlust
350,0.7168053442115471,split_56,opticlust
68,0.6928563776444091,split_57,opticlust
137,0.6942022609620059,split_57,opticlust
274,0.6950212709827382,split_57,opticlust
350,0.6941406320454176,split_57,opticlust
68,0.6920443984916428,split_58,opticlust
137,0.693988550043098,split_58,opticlust
274,0.6930655634877564,split_58,opticlust
350,0.6933209491609523,split_58,opticlust
68,0.7034566570955425,split_59,opticlust
137,0.7079053713380071,split_59,opticlust
274,0.7091667949026842,split_59,opticlust
350,0.7085315675254269,split_59,opticlust
68,0.6915387403712434,split_60,opticlust
137,0.69497016208149065,split_60,opticlust
274,0.6970069851972658,split_60,opticlust
350,0.6946494159613955,split_60,opticlust
68,0.6890894676394347,split_61,opticlust
137,0.6929616398112648,split_61,opticlust
274,0.6936500274678978,split_61,opticlust
350,0.6950347963223628,split_61,opticlust
68,0.6984872789898758,split_62,opticlust
137,0.7005852787024568,split_62,opticlust
274,0.7003355901046816,split_62,opticlust
350,0.7001188504731489,split_62,opticlust
68,0.6946070801976442,split_63,opticlust
137,0.6987565199376864,split_63,opticlust
274,0.7013133488498399,split_63,opticlust
350,0.7017273213894816,split_63,opticlust
68,0.7077008892873238,split_64,opticlust
137,0.7093636141677463,split_64,opticlust
274,0.7087825267428396,split_64,opticlust
350,0.7076252176047233,split_64,opticlust
68,0.6806238541146777,split_65,opticlust
137,0.6830235874298347,split_65,opticlust
274,0.6837343355043238,split_65,opticlust
350,0.6829481521938466,split_65,opticlust
68,0.6998920484980802,split_66,opticlust
137,0.7035410168007092,split_66,opticlust
274,0.7029054170171144,split_66,opticlust
350,0.703526258880167,split_66,opticlust
68,0.669597293087369,split_67,opticlust
137,0.6723015857545576,split_67,opticlust
274,0.6734543243283637,split_67,opticlust
350,0.6737634654851967,split_67,opticlust
68,0.6865507542807923,split_68,opticlust
137,0.6906710371248675,split_68,opticlust
274,0.6935570828194624,split_68,opticlust
350,0.6935751024511638,split_68,opticlust
68,0.6926431516387981,split_69,opticlust
137,0.6973472303206139,split_69,opticlust
274,0.6989208472773718,split_69,opticlust
350,0.6987975341559842,split_69,opticlust
68,0.6733456201707431,split_70,opticlust
137,0.672545316260994,split_70,opticlust
274,0.6739936168913118,split_70,opticlust
350,0.6724564596425611,split_70,opticlust
68,0.6895893734183948,split_71,opticlust
137,0.6933824539199026,split_71,opticlust
274,0.6930638000395624,split_71,opticlust
350,0.6936053586475817,split_71,opticlust
68,0.6749856404527587,split_72,opticlust
137,0.6783501275808825,split_72,opticlust
274,0.6784005434397814,split_72,opticlust
350,0.6761441540675449,split_72,opticlust
68,0.6825650179578193,split_73,opticlust
137,0.685694613649954,split_73,opticlust
274,0.6862546530456571,split_73,opticlust
350,0.6852503171147034,split_73,opticlust
68,0.6822007447132029,split_74,opticlust
