"","cv_metric_AUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","method","seed","split","algorithm"
"33",0.689810269786986,0.653061224489796,0.29196770080748,NA,NA,0.821652065081352,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_33","opticlust"
"34",0.697372038518323,0.653061224489796,0.244786944696283,NA,NA,0.810483870967742,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_34","opticlust"
"35",0.693578313815693,0.714285714285714,0.416666666666667,NA,NA,0.854166666666667,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_35","opticlust"
"36",0.692194290790481,0.663265306122449,0.319730753050063,NA,NA,0.83130081300813,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_36","opticlust"
"37",0.685646254834814,0.714285714285714,0.417904115400933,NA,NA,0.85273258239466,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_37","opticlust"
"38",0.714800993472326,0.571428571428571,0.134566862910008,NA,NA,0.783333333333333,NA,NA,NA,NA,0.142857142857143,NA,"rf",2021,"split_38","opticlust"
"39",0.686123859313897,0.683673469387755,0.347788750536711,NA,NA,0.836649550706033,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_39","opticlust"
"40",0.703617394379633,0.622448979591837,0.199558498896247,NA,NA,0.798352588789046,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_40","opticlust"
"41",0.700803765552315,0.622448979591837,0.208642514185945,NA,NA,0.800294612794613,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_41","opticlust"
"42",0.708276792516406,0.602040816326531,0.210004133939645,NA,NA,0.802916666666667,NA,NA,NA,NA,0.150510204081633,NA,"rf",2021,"split_42","opticlust"
"43",0.712920719515027,0.581632653061224,0.146196345091373,NA,NA,0.785953177257525,NA,NA,NA,NA,0.145408163265306,NA,"rf",2021,"split_43","opticlust"
"44",0.689101793616405,0.73469387755102,0.450151057401813,NA,NA,0.860253699788583,NA,NA,NA,NA,0.183673469387755,NA,"rf",2021,"split_44","opticlust"
"45",0.702905285122133,0.622448979591837,0.234051542036333,NA,NA,0.807780559032123,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_45","opticlust"
"46",0.707190053457198,0.704081632653061,0.374284456186702,NA,NA,0.845206093189964,NA,NA,NA,NA,0.176020408163265,NA,"rf",2021,"split_46","opticlust"
"47",0.700737282431755,0.653061224489796,0.316372589249077,NA,NA,0.830413016270338,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_47","opticlust"
"48",0.7088470873992,0.673469387755102,0.322970639032815,NA,NA,0.828703703703704,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_48","opticlust"
"49",0.683905645920816,0.683673469387755,0.352790796761824,NA,NA,0.836357947434293,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_49","opticlust"
